location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts
EDALC04RIA1,53.412775,-113.685087,645,500,Hidden - Location+Data,t,Riverview Area 1,308188, 2022-08-12 21:41:52
EDALC04RIA3,53.413963,-113.685985,645,500,Hidden - Location+Data,t,Riverview Area 3,308189, 2022-08-12 21:41:52
EDALC04RIA2,53.414443,-113.685985,645,500,Hidden - Location+Data,t,Riverview Area 2,308187, 2022-08-12 21:41:52
EDALB04DEC3,53.415683,-113.403985,645,500,Hidden - Location+Data,t,Decoteau 3,308238, 2022-08-12 21:41:53
EDALB04DEC1,53.416533,-113.398985,645,500,Hidden - Location+Data,t,Decoteau 1,308239, 2022-08-12 21:41:53
EDALB04DEC2,53.417223,-113.397985,645,500,Hidden - Location+Data,t,Decoteau 2,308240, 2022-08-12 21:41:53
EDALC03CAS1,53.423663,-113.499985,645,500,Hidden - Location+Data,t,Cashman,308206, 2022-08-12 21:41:52
EDALC03GRH1,53.426333,-113.562985,645,500,Hidden - Location+Data,t,Graydon Hill,308202, 2022-08-12 21:41:52
EDALC04BIG1,53.428133,-113.664985,645,500,Hidden - Location+Data,t,Big Island,308193, 2022-08-12 21:41:52
EDALC03BLC1,53.444762,-113.515942,645,500,Hidden - Location+Data,t,Blackmud Creek Ravine,308205, 2022-08-12 21:41:52
EDALC03MAH1,53.451173,-113.540985,645,500,Hidden - Location+Data,t,Magrath Heights,308201, 2022-08-12 21:41:52
EDALC03WIN1,53.451773,-113.622985,645,500,Hidden - Location+Data,t,Windermere,308192, 2022-08-12 21:41:52
EDALC03HOD1,53.456638,-113.548136,645,500,Hidden - Location+Data,t,Hodgson,308199, 2022-08-12 21:41:52
EDALB03STB1,53.457314,-113.400931,645,500,Hidden - Location+Data,t,Star Blanket Park,308243, 2022-08-12 21:41:53
EDALB03TAM1,53.458183,-113.358985,645,500,Hidden - Location+Data,t,Tamarack,308237, 2022-08-12 21:41:53
